36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,
36,36,36,36,36,36,36,19,19,19,19,19,19,19,36,36,36,36,36,36,
36,36,36,36,36,36,36,19,26,26,26,26,26,19,36,36,36,36,36,36,
36,36,36,36,36,36,36,19,26,26,29,26,26,19,36,36,36,36,36,36,
36,36,36,36,36,36,36,19,28,28,28,28,28,19,36,36,36,36,36,36,
36,36,36,36,36,36,36,19,26,26,26,26,26,19,36,36,36,36,36,36,
36,36,36,36,36,36,36,19,26,26,26,26,26,19,36,36,36,36,36,36,
36,36,36,36,36,36,36,19,19,19,36,19,19,19,36,36,36,36,36,36,
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,
